rank,title,heat,tag,brief,link,trend,fetched_at,source
30,台湾歌手坣娜去世,5021969,,近日，台湾歌手坣娜因红斑狼疮旧疾复发去世，终年59岁。其代表作包括《奢求》《自由》等经典歌曲，曾两度获金曲奖国语歌后提名... 查看更多>,https://www.baidu.com/s?wd=%E5%8F%B0%E6%B9%BE%E6%AD%8C%E6%89%8B%E5%9D%A3%E5%A8%9C%E5%8E%BB%E4%B8%96&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
31,中国兽协回应动物血库抽取猫血,4925991,,查看更多>,https://www.baidu.com/s?wd=%E4%B8%AD%E5%9B%BD%E5%85%BD%E5%8D%8F%E5%9B%9E%E5%BA%94%E5%8A%A8%E7%89%A9%E8%A1%80%E5%BA%93%E6%8A%BD%E5%8F%96%E7%8C%AB%E8%A1%80&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
32,82岁影帝许冠文一年获2个博士学位,4846627,,82岁香港影帝许冠文在2025年6月3日获香港恒生大学荣誉社会科学博士学位，并将于12月11日再获香港中文大学同类荣誉，... 查看更多>,https://www.baidu.com/s?wd=82%E5%B2%81%E5%BD%B1%E5%B8%9D%E8%AE%B8%E5%86%A0%E6%96%87%E4%B8%80%E5%B9%B4%E8%8E%B72%E4%B8%AA%E5%8D%9A%E5%A3%AB%E5%AD%A6%E4%BD%8D&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
33,农民突发脑溢血 上百村民帮忙收玉米,4761063,,近日，山东聊城东昌府区郑家镇王庄村一名45岁农民突发脑溢血昏迷，60亩玉米面临霉变风险。在村支书号召下，上百名同村村民冒... 查看更多>,https://www.baidu.com/s?wd=%E5%86%9C%E6%B0%91%E7%AA%81%E5%8F%91%E8%84%91%E6%BA%A2%E8%A1%80+%E4%B8%8A%E7%99%BE%E6%9D%91%E6%B0%91%E5%B8%AE%E5%BF%99%E6%94%B6%E7%8E%89%E7%B1%B3&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
34,北大医药董事长徐晰人被刑事拘留,4641770,,查看更多>,https://www.baidu.com/s?wd=%E5%8C%97%E5%A4%A7%E5%8C%BB%E8%8D%AF%E8%91%A3%E4%BA%8B%E9%95%BF%E5%BE%90%E6%99%B0%E4%BA%BA%E8%A2%AB%E5%88%91%E4%BA%8B%E6%8B%98%E7%95%99&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
35,今日重阳,4545269,,重阳秋色暖，敬老情更浓。今天重阳节，愿重阳享安康，幸福久久长。 查看更多>,https://www.baidu.com/s?wd=%E4%BB%8A%E6%97%A5%E9%87%8D%E9%98%B3&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
36,四川乐山大佛街道一工地挖出古墓,4454690,,查看更多>,https://www.baidu.com/s?wd=%E5%9B%9B%E5%B7%9D%E4%B9%90%E5%B1%B1%E5%A4%A7%E4%BD%9B%E8%A1%97%E9%81%93%E4%B8%80%E5%B7%A5%E5%9C%B0%E6%8C%96%E5%87%BA%E5%8F%A4%E5%A2%93&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
37,宝宝巴士里不该有低俗广告身影,4362575,,近日，有网友反映打开“宝宝巴士儿歌”App时，看到低俗的第三方广告，引发社会关注。作为一款专为儿童设计的启蒙教育应用软件... 查看更多>,https://www.baidu.com/s?wd=%E5%AE%9D%E5%AE%9D%E5%B7%B4%E5%A3%AB%E9%87%8C%E4%B8%8D%E8%AF%A5%E6%9C%89%E4%BD%8E%E4%BF%97%E5%B9%BF%E5%91%8A%E8%BA%AB%E5%BD%B1&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
38,年轻人脑卒中发病率逐步增加,4276237,,查看更多>,https://www.baidu.com/s?wd=%E5%B9%B4%E8%BD%BB%E4%BA%BA%E8%84%91%E5%8D%92%E4%B8%AD%E5%8F%91%E7%97%85%E7%8E%87%E9%80%90%E6%AD%A5%E5%A2%9E%E5%8A%A0&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
39,世界第1！中国IPv6活跃用户达8.65亿,4194959,,10月29日，第四届中国IPv6创新发展大会今天发布了《中国IPv6发展报告（2025）》，报告显示，我国IPv6活跃用... 查看更多>,https://www.baidu.com/s?wd=%E4%B8%96%E7%95%8C%E7%AC%AC1%EF%BC%81%E4%B8%AD%E5%9B%BDIPv6%E6%B4%BB%E8%B7%83%E7%94%A8%E6%88%B7%E8%BE%BE8.65%E4%BA%BF&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
